id,input_text,labels
kzp_train_0311,білсең халықтан озасың білмеген жамандар мойның неге созасың,O O COMMA O O O O PERIOD
kzp_train_0312,ұрлық қылып мал берсе адалдықтан не пайда,O COMMA O COMMA O O QUESTION
kzp_train_0313,ит ластығымен дарияны арамдай алмас,O O O O PERIOD
kzp_train_0314,құтсыз қонақ келсе қораға қасқыр шабады,O O COMMA O O PERIOD
kzp_train_0315,бір күндік жолдасқа қырық күн сәлем,O O O O O PERIOD
kzp_train_0316,жазда сайға қонба қыста қырға қонба,O O COMMA O O PERIOD
kzp_train_0317,өтірік қаңбақ шындық салмақ,O COMMA O PERIOD
kzp_train_0318,ашу ағадан кешіру ініден,O COMMA O PERIOD
kzp_train_0319,заң ақымаққа арнап жазылмайды,O O O PERIOD
kzp_train_0320,ұрып-ұрып оймен жүргенше ұрғызып-ұрғызып қырмен жүр,O O COMMA O O PERIOD
kzp_train_0321,алғаны жаман жігіттің ойлағаны болмайды,O O O O PERIOD
kzp_train_0322,тіл бал тіл ажал,O COMMA O PERIOD
kzp_train_0323,арық аттың бабын тапсаң тұлпар күйкентайдың күйін тапсаң сұңқар,O O O COMMA COMMA O O COMMA PERIOD
kzp_train_0324,ақылды сөз қысқа келер нақылды сөз нұсқа келер,O O O COMMA O O O PERIOD
kzp_train_0325,кімнің жерін жерлесең соның суын сула,O O COMMA O O PERIOD
kzp_train_0326,қойың болмаса байлықта ойың болмасын,O COMMA O O PERIOD
kzp_train_0327,ақсақ қой түстен кейін маңырайды,O O O O PERIOD
kzp_train_0328,ақ еділдің өзі болмасақ та бұлағымыз ақылды бастың өзі болмасақ та құлағымыз,O O O O COMMA COMMA O O O O COMMA PERIOD
kzp_train_0329,тәкаппарды тақ көтерер ол да шақ көтерер,O O COMMA O O O PERIOD
kzp_train_0330,шешесі өсекшінің қызы өтірікші,O O O PERIOD
kzp_train_0331,тоңға жатқан мал оңбас тобырға түскен іс оңбас,O O O COMMA O O O PERIOD
kzp_train_0332,ат орнына тай төлеу,O O O PERIOD
kzp_train_0333,бір мылтықтың аузына мың кісі сияды,O O O O O PERIOD
kzp_train_0334,су сүзілмес сүйек үзілмес,O COMMA O PERIOD
kzp_train_0335,жастықта да кәрілік тұр байлықта да жарлылық тұр,O O O COMMA O O O PERIOD
kzp_train_0336,алған жарың жаксы болса айт пен тойың не керек,O O O COMMA O O O O PERIOD
kzp_train_0337,алты жыл аш болсаң да атаңның әдетін тастама,O O O O COMMA O O PERIOD
kzp_train_0338,ағайын бір өліде бір тіріде,O O COMMA O PERIOD
kzp_train_0339,баласы жоқ ханым тұл баяны жоқ ғалым тұл,O O O COMMA O O O PERIOD
kzp_train_0340,көптің ақылы көл аздың ақылы шөл,O O COMMA O O PERIOD
kzp_train_0341,ақыл қарттан шығар асыл тастан шығар,O O COMMA O O PERIOD
kzp_train_0342,сыйлай білген сыйлата біледі,O COMMA O PERIOD
kzp_train_0343,басына бақ қонатын жігіттің ұлы епті болады қызы бетті болады,O O O O O O COMMA O O PERIOD
kzp_train_0344,етікті нәл сақтайды жігітті әл сақтайды,O O COMMA O O PERIOD
kzp_train_0345,тентекті тентек десең бөркі қазандай болады,O O COMMA O O PERIOD
kzp_train_0346,әділ би халқы үшін залым би құлқыны үшін,O O O COMMA O O O PERIOD
kzp_train_0347,жалқау тек жатар жатқанның ырысы қайтар,O O COMMA O O PERIOD
kzp_train_0348,еңбексіз отыру шалдың ісі еңбексіз жеу салдың ісі,O O O COMMA O O O PERIOD
kzp_train_0349,арық пенен семіздің бауыры бірдей жақсы менен жаманның жаны бірдей,O O O O COMMA O O O O PERIOD
kzp_train_0350,жаман биені жабула да кұлынын ал,O O O COMMA O PERIOD
kzp_train_0351,сөз қуған пәлеге жолығар,O O O PERIOD
kzp_train_0352,көк шулан қойдан табылады,O O O PERIOD
kzp_train_0353,көп ішінде сөйлеген көсемдіктің белгісі көпке сөзі ұнаған шешендіктің белгісі,O O O O COMMA O O O O PERIOD
kzp_train_0354,екі ұштыны бір күшті қосар,O O O O PERIOD
kzp_train_0355,дәулет есіктен кіреді бала бесіктен кіреді,O O COMMA O O PERIOD
kzp_train_0356,қызды қымтап ұстаған ұялмайды,O O O PERIOD
kzp_train_0357,малды жақсы баққаның өзіңе абырой тапқаның,O O COMMA O O PERIOD
kzp_train_0358,ел мен ел қосылады тау мен тау қосылмайды,O O O COMMA O O O PERIOD
kzp_train_0359,ақылды ісіне сенеді ақымақ түсіне сенеді,O O COMMA O O PERIOD
kzp_train_0360,ішкен мас тойған тоқ,O COMMA O PERIOD
kzp_train_0361,өсек деген бәле бар өтірікпен бір туған жағымпаздық жан досы бірге жатып бір тұрған,O O O O O O COMMA O O O O COMMA O PERIOD
kzp_train_0362,жарлының аузы аққа тисе мұрны қанар,O O O COMMA O PERIOD
kzp_train_0363,жігіттің құны жүз жылқы ар-намысы мың жылқы,O O O COMMA O O PERIOD
kzp_train_0364,екі кісі бір кісінің тәңірі,O O O O PERIOD
kzp_train_0365,кең киім тозбайды кеңесті ел азбайды,O O COMMA O O PERIOD
kzp_train_0366,адам киімімен емес кісілігімен,O O COMMA PERIOD
kzp_train_0367,алғаның жаман болса көңілің жарым атың шабан болса талар қарың,O O COMMA O COMMA O O COMMA O PERIOD
kzp_train_0368,жаманға шөп ереді жақсыға сөз ереді,O O COMMA O O PERIOD
kzp_train_0369,әңгіме бұзау емізер бұзау таяқ жегізер,O O COMMA O O PERIOD
kzp_train_0370,өлетін бала молаға қашады,O O O PERIOD
kzp_train_0371,сабан бол шөп бол шамаң келсе көп бол,O COMMA O COMMA O COMMA O PERIOD
kzp_train_0372,ер басына күн туса ереуіл атқа ер салар,O O O COMMA O O O PERIOD
kzp_train_0373,шөлмек мың күн сыймайды бір күн сынады,O O O COMMA O O PERIOD
kzp_train_0374,дауды ақыл жеңеді жауды батыр жеңеді,O O COMMA O O PERIOD
kzp_train_0375,бейбітшілік жолында жан берсең де қорынба,O O O O COMMA PERIOD
kzp_train_0376,ағайын туған кімде жоқ сыйласпаса жат жуық,O O O COMMA COMMA O PERIOD
kzp_train_0377,аға-ініні жамандап қане туған тапқаның арғымақты жамандап қане тұлпар тапқаның,O COMMA COMMA O COMMA O COMMA COMMA O PERIOD
kzp_train_0378,жер мен жерді жер жалғайды ел мен елді қыз жалғайды,O O O O COMMA O O O O PERIOD
kzp_train_0379,ақылды ұл білім іздер ақылсыз ұл шылым іздер,O O O COMMA O O O PERIOD
kzp_train_0380,ақшасыздың қолы келте жалқаулардың тоны келте,O O COMMA O O PERIOD
kzp_train_0381,іс оңына басарда шыбыш лақтап тоқты қоздайды,O O COMMA O COMMA O PERIOD
kzp_train_0382,есік көргенді алма бесік көргенді ал,O O COMMA O O PERIOD
kzp_train_0383,сөз қуған пәлеге жолығады жол қуған қазынаға жолығады,O O O COMMA O O O PERIOD
kzp_train_0384,назары аштың көзі тоймайды бақ пен қыдыр дарыса да,O O O COMMA O O O O PERIOD
kzp_train_0385,сиынғаннан сүйенгенің күшті болсын,O O O PERIOD
kzp_train_0386,қолымен қосаяқ соққан аузымен орақ орған,O O COMMA O O PERIOD
kzp_train_0387,алуан-алуан жүйрік бар әліне қарай жүгіреді,O O COMMA O O PERIOD
kzp_train_0388,жаманға сырыңды айтпа сырыңды айтсаң да шыныңды айтпа,O O COMMA O O COMMA O PERIOD
kzp_train_0389,мұзға сүйенбе жауға сенбе,O COMMA O PERIOD
kzp_train_0390,есекке шалшық сұңқарға талшық,O COMMA O PERIOD
kzp_train_0391,қару алсаң мылтық ал жаяу жүрсең таяғың қарның ашса тамағың,O COMMA O COMMA O O COMMA O O PERIOD
kzp_train_0392,өз өлтірмейді жат жарылқамайды,O COMMA O PERIOD
kzp_train_0393,әйел жомарттық қылғанда еркек намарттық қылғаны өлім,O O COMMA O O O PERIOD
kzp_train_0394,қызды таныс алады таныс алмаса қоныс алады,O O COMMA O COMMA O PERIOD
kzp_train_0395,өзім асыраған текешігім өзіме артылды,O O O O PERIOD
kzp_train_0396,жақсы сөйлесе аузынан гүл төгіледі,O COMMA O O PERIOD
kzp_train_0397,жақсыға айтсаң біледі жаманға айтсаң күледі,O COMMA COMMA O COMMA PERIOD
kzp_train_0398,қылышты қорқақты сойылды батыр соғыпты,O O O O PERIOD
kzp_train_0399,өзіңді-өзің хан көтеріп өзге жұртты нөкер дейсің,O O COMMA O O O PERIOD
kzp_train_0400,жалқауға сөз айтсаң адам таппас сөз айтады,O O COMMA O O O PERIOD
kzp_train_0401,жаман қоныстан жақсы жүріс артық,O O O O PERIOD
kzp_train_0402,жабайы шөп егінді аздырар еріншектік ерді аздырар,O O O COMMA O O PERIOD
kzp_train_0403,қайғың қара қазан болсын,O O O PERIOD
kzp_train_0404,еріне қызы сай жеріне елігі сай,O O COMMA O O PERIOD
kzp_train_0405,аттың жалында атанның қомында,O O O PERIOD
kzp_train_0406,батырға таяқ та жарақ,O O O PERIOD
kzp_train_0407,ердің малы елдің малы,O O O PERIOD
kzp_train_0408,өз жұртын танымаған кісі еліне би бола алмас,O O O O O O O PERIOD
kzp_train_0409,гүрілдеп келген жаудан күлімдеп келген қас жаман,O O COMMA O O O PERIOD
kzp_train_0410,қыз емес қыздың аты бәрі қатын қойыпты қызықсын деп қыз деп атын,O O O O O COMMA O O O O O PERIOD
kzp_train_0411,жақсыда жаттық жоқ жаманда достық жоқ,O O COMMA O O PERIOD
kzp_train_0412,қашпақ-қумақ ерге сын көшпек-қонбақ елге сын,O O COMMA O O PERIOD
kzp_train_0413,сөйлей білмеген жаман сөзді өзіне келтірер,O O O O O PERIOD
kzp_train_0414,аттының несібесі алтау жаяудың несібесі жалқы,O O COMMA O O PERIOD
kzp_train_0415,екі тентек елге сыймас,O O O PERIOD
kzp_train_0416,өтірікшінің астында құр аты бар,O O O O PERIOD
kzp_train_0417,түтіні түзу шықпағандар бірін-бірі қасқыр итше талайды,O O O O O O PERIOD
kzp_train_0418,палуанның жаманы шалдырған соң өкінер,O O O O PERIOD
kzp_train_0419,жүзден жүйрік мыңнан тұлпар,O COMMA O PERIOD
kzp_train_0420,ант ұрмай ат жығылмас,O O O PERIOD
kzp_train_0421,бұзау ұрлаған өгізді де ұрлайды,O O O O PERIOD
kzp_train_0422,ат арыса тулақ ер арыса әруақ,O O COMMA O O PERIOD
kzp_train_0423,тойға барсаң тойып бар төрт тоныңды киіп бар,O COMMA O COMMA O O O PERIOD
kzp_train_0424,айрылмас қоңсыңа ауыр сөз айтпа,O O O O PERIOD
kzp_train_0425,көлдің көркі құрақ таудың көркі бұлақ,O O COMMA O O PERIOD
kzp_train_0426,жаманның көрсеткенінен жақсының сілтегені артық,O COMMA O O PERIOD
kzp_train_0427,бай болып көргенім жоқ жарлы болып өлгенім жоқ,O O O COMMA O O O PERIOD
kzp_train_0428,панасы жоқ таудан без пайдасы жоқ байдан без,O O O COMMA O O O PERIOD
kzp_train_0429,анаңды меккеге үш арқалап барсаң да қарызыңнан құтыла алмайсың,O O O O O COMMA O O PERIOD
kzp_train_0430,жолға шықсаң жол азығың мол болсын,O COMMA O O O PERIOD
kzp_train_0431,семіз көркем бай шешен,O COMMA O PERIOD
kzp_train_0432,бір қазанға екі бидай қуырылмас,O O O O PERIOD
kzp_train_0433,өз бетін аямаған кісі бетін шиедей қылады,O O COMMA O O O PERIOD
kzp_train_0434,егін өнбесе қайғы бір жылдық балаң оңбаса қайғы ғұмырлық,O COMMA O O COMMA O COMMA O PERIOD
kzp_train_0435,ары бардың бетінде алау жанып тұрады,O O O O O PERIOD
kzp_train_0436,жонға салсаң жүйрік жолға салсаң жорға,O COMMA COMMA O COMMA PERIOD
kzp_train_0437,қонысқа қарай мал өсер ырысқа қарай ұл өсер,O O O COMMA O O O PERIOD
kzp_train_0438,менмен жігіттің соры төменшек жігіттің қоры,O O COMMA O O PERIOD
kzp_train_0439,ғылымның басы ақыл ақылдың басы төзімділік,O O COMMA O O PERIOD
kzp_train_0440,желінсау қой қосаққа кірмейді құр табаққа бата жүрмейді,O O O COMMA O O O PERIOD
kzp_train_0441,күте білсең ханшадан күң жақсы,O COMMA O O PERIOD
kzp_train_0442,қашқан жауға қатын ер,O O O PERIOD
kzp_train_0443,ақымақтың ақырына бақ тентектің мақұлына бап,O O COMMA O O PERIOD
kzp_train_0444,тумаған балаға кіндік шеше,O O O PERIOD
kzp_train_0445,білім бақтың жібермейтін қазығы білімсіз бақ әлдекімнің азығы,O O O COMMA O O O PERIOD
kzp_train_0446,жақсы алтын басын еңкейтсе жаман боқты көтін тоңқайтар,O O O COMMA O O O PERIOD
kzp_train_0447,екі қу кешкі ақшамда кездеседі екі ит жерошақ басында кездеседі,O O O O COMMA O O O O PERIOD
kzp_train_0448,алып анадан туады ат биеден туады,O O COMMA O O PERIOD
kzp_train_0449,епті етегін жабады епсіз мүрдем қабады,O O COMMA O O PERIOD
kzp_train_0450,аз сөйлеп көп тыңда,O COMMA O PERIOD
kzp_train_0451,ас қадірін тоқ білмес,O O O PERIOD
kzp_train_0452,малды жаман баққаның келген бақты қаққаның,O O COMMA O O PERIOD
kzp_train_0453,өз жұртын танымаған кісі еліне би болмас,O O O O O O PERIOD
kzp_train_0454,жаулығы болса қатын жалыны болса отын,O COMMA COMMA O COMMA PERIOD
kzp_train_0455,ханды құдай ұрайын десе қарашысымен қас болар байды құдай ұрайын десе дәулетіне мас болар,O O O COMMA O O COMMA O O O COMMA O O PERIOD
kzp_train_0456,жау жеңетін жігіт жарағынан танылғы,O O O O PERIOD
kzp_train_0457,жаман көрші сырыңды сыртқа жаяды,O O O O PERIOD
kzp_train_0458,жауға жалынба досқа тарылма,O COMMA O PERIOD
kzp_train_0459,жақсы болар жігіттің етек-жеңі кең келер,O O O O O PERIOD
kzp_train_0460,от тәнді жылытар сөз жанды жылытар,O O COMMA O O PERIOD
kzp_train_0461,қайғысыз қара суға семіреді,O O O PERIOD
kzp_train_0462,ата тұрып ұл сөйлегеннен без ана тұрып қыз сөйлегеннен без,O COMMA O O COMMA O COMMA O O PERIOD
kzp_train_0463,қатты-қатты сөйлесең мұсылман діннен шығар,O COMMA O O PERIOD
kzp_train_0464,күшіңнің көптігін белдескенде білерсің,O O O PERIOD
kzp_train_0465,ер құны жақсы жүз жылқы қатын құны жартысы,O O O O COMMA O O PERIOD
kzp_train_0466,өле табылса тамақ талқан табылса тамақ,O O COMMA O O PERIOD
kzp_train_0467,алпыс адам аттан жығылса әрқайсысы өз ауырған жерін сипайды,O O O COMMA O O O O PERIOD
kzp_train_0468,жаудан қашсаң жаның қалар жау қолында жарың қалар ішінде күйік-жалын қалар,O COMMA O COMMA O O O COMMA O O PERIOD
kzp_train_0469,айрылар дос ердің артқы қасын сұрайды,O O O O O PERIOD
kzp_train_0470,айтқанның аузы жаман жылағанның көзі жаман,O O COMMA O O PERIOD
kzp_train_0471,қаһарлы батыр қатынынан қаймығар жалқы жігіт жақынынан қаймығар,O O O COMMA O O O PERIOD
kzp_train_0472,ағаш ұстаған жерінен сынбайды,O O O PERIOD
kzp_train_0473,арғымақ аттың тұяғы тасты басса кетілер сазды басса жетілер,O O O O COMMA COMMA O COMMA PERIOD
kzp_train_0474,даудың байсал тапқаны төрешіге барғаны,O O O O PERIOD
kzp_train_0475,қызым үйде көзі түзде,O COMMA O PERIOD
kzp_train_0476,жеріне қарай егін ек жолына қарай жегін жек,O O O COMMA O O O PERIOD
kzp_train_0477,итаяғын ит те қориды,O O O PERIOD
kzp_train_0478,жаманның көрсеткенінен жақсының айтқаны анық,O COMMA O O PERIOD
kzp_train_0479,тізеден суға белден тоба,O O O PERIOD
kzp_train_0480,жаман атқа жал бітсе жанына торсық байлатпас,O O O COMMA O O PERIOD
kzp_train_0481,бесті айғырдың бетінен сақтан,O O O PERIOD
kzp_train_0482,бала көңілдің гүлі көздің нұры,O O COMMA O PERIOD
kzp_train_0483,жарлылық деген жақсы екен жатып ішер ас болса,O O O COMMA O O O PERIOD
kzp_train_0484,қос атпенен қол көп көрінеді қозысымен қой көп көрінеді,O O O O COMMA O O O PERIOD
kzp_train_0485,шетте жүрсең тарығарсың туған елді сағынарсың,O COMMA COMMA O O PERIOD
kzp_train_0486,болмайтын бала жиырма бесінде жаспын дейді,O O O O O PERIOD
kzp_train_0487,ғылымнан білім зор білімсіз ғылым қор,O O COMMA O O PERIOD
kzp_train_0488,мал арыстанның аузында түрікпеннің төрінде,O O COMMA O PERIOD
kzp_train_0489,ашпаса кім көрер айтпаса кім білер,COMMA O COMMA COMMA O PERIOD
kzp_train_0490,ақылдыға айтса біледі ақымаққа айтса күледі,O COMMA COMMA O COMMA PERIOD
kzp_train_0491,келгеннің мандайынан кеткеннің желкесінен сипа,O COMMA O O PERIOD
kzp_train_0492,ғалым алдында аузыңды тый,O O O PERIOD
kzp_train_0493,ит тойған жеріне ер туған жеріне,O O COMMA O O PERIOD
kzp_train_0494,азғыруға адамның шайтаны жаман,O O O PERIOD
kzp_train_0495,төркіні жаман әйелдің төбесі жарық,O O O O PERIOD
kzp_train_0496,жаманның ақылы түстен кейін жақсының қадірі істен кейін,O O O COMMA O O O PERIOD
kzp_train_0497,бұйырған ас тіс сындырып кіреді,O O O O PERIOD
kzp_train_0498,у жасаған удан өледі найза ұстаған жаудан өледі,O O O COMMA O O O PERIOD
kzp_train_0499,біреудің қаңсығы біреуге таңсық,O O O PERIOD
kzp_train_0500,әйт шүу деген атанға демеу әупірім деген ерге демеу,O O O O COMMA O O O PERIOD
